,material,Refractive_index_modulation,Coupling_constant,Gain_estimate,Resonance_Wavelength,Plane
0,CdTe,0.0002610316920764,0.00109633054302322,8.21139073925371,0.748,111
1,InSb,0.0002606078878165,0.0010945505692941600,8.23811941607806,0.748,111
2,PbTe,5.43761374369877E-05,0.000228991519976715,188.217909609042,0.746,111
3,GaSb,0.0002327514816831,0.00103865105819324,9.14872154868895,0.704,111
4,InAs,0.0002330382666542,0.00104587329503771,9.02280553639291,0.7,111
5,CdSe,0.0002335807446075,0.00104980765562111,8.9553027884774,0.699,111
6,PbS,0.0002364558871386,0.0010828689182692500,8.41681862913383,0.686,111
7,InP,0.0002103711913654,0.000974779630266286,10.386921630318,0.678,111
8,CdS,0.0002069551951064,0.0009660756620635980,10.5749290653059,0.673,111
9,AlAs,0.000149061947205,0.0007160426884848130,19.2496091709248,0.654,111
10,Ge,0.0001910183765299,0.000917587046494077,11.7220939360975,0.654,111
11,GaAs,0.0001909722361699,0.000920179408268502,11.6561391820097,0.652,111
12,AlP,8.66239852628892E-05,0.00043265067683078400,52.7260176248324,0.629,111
13,GaP,0.000153752220625,0.000767928214290495,16.7362631953246,0.629,111
14,Si,8.69926572434282E-05,0.00043587797912633,51.9481263290745,0.627,111
15,ZnS,0.0001518891080745,0.0007622583164334510,16.9861675156927,0.626,111
16,CrO,8.27770016470908E-05,0.000505937004398231,38.557321380742,0.514,111
17,FeO,9.81870664870806E-05,0.0006269588755149290,25.1085501430176,0.492,111
18,MnO,8.84037727352574E-05,0.000540328099172581,33.8052879150493,0.514,111
19,CuO,0.0001159689342399,0.000746572032485617,17.7074617365058,0.488,111
20,CuO440,1.96428305549087E-05,0.000411398481113403,58.3142074511933,0.15,440
21,ScN,7.0528462969103E-05,0.00042528157607046800,54.5690769840789,0.521,111
22,TiN,8.11004155891515E-05,0.000519968305750934,36.5044660699887,0.49,111
23,VN,8.96688222278407E-05,0.000591812842787885,28.1793502125185,0.476,111
24,CrN,9.42075628300821E-05,0.000611491296073522,26.3948492532418,0.484,111
25,MnN,0.0001013168669182,0.00066589189287675,22.2583153179299,0.478,111
26,FeN,0.0001526717935698,0.000988933165132782,10.0917355593705,0.485,111
27,CoN,0.0001572523897848,0.00101442084703809,9.59098946687466,0.487,111
28,GaN,0.0001770619271406,0.00112830922826656,7.75253016987708,0.493,111
29,NiO,0.0001116088223719,0.000724441025701419,18.8058804865406,0.484,111
30,MgO,2.25253607677187E-05,0.000145608040961573,465.510013804874,0.486,111
31,CaO,5.49767366250339E-05,0.000311197318737923,101.912640119717,0.555,111
32,SrO,0.0001107257348349,0.000582671951626399,29.0704342940955,0.597,111
33,BaO,0.0001960762358581,0.0009565087921047100,10.7875249371465,0.644,111
34,Li2O,2.86772057248077E-05,0.000183114022013291,294.344917897039,0.492,111
35,LaN,0.0002172150648321,0.00111503472536888,7.93821687568338,0.612,111
36,GdN,0.0002613944626684,0.00142816508453586,4.83885850284651,0.575,111
37,HoN,0.0002798896906009,0.00156737860215219,4.01746330272937,0.561,111
38,LuN,0.0003016352595464,0.0017387433311097,3.26459108885078,0.545,111
39,LaCoO3,2.32462953366999E-05,0.0016556589935539,3.60045975026918,0.441095605660874,100
